Gene,Fold Change
Limch1,-1.639
BB321618,1.6387
Zkscan1,-1.6387
Rftn1,-1.6378
Plec,1.6378
Ppp2r1b,-1.6376
Arl4d,1.6374
Fbxo32,1.6372
Syt12,1.6367
Mm.434063,1.6365
1445831_at,1.6364
Sema6d,1.6359
Tyro3,1.6358
Ap1s3,-1.6358
Kcnj9,1.6354
1700012D01Rik,1.6348
Hjurp,1.6345
BB265744,-1.6345
Golga7b,1.6335
9430087N24Rik,-1.6335
Sdr42e1,-1.6329
Kcnb1,1.6329
Kcnip4,-1.6328
Nrip3,-1.6327
Tbc1d24,-1.6327
Flywch1,1.6324
Cdk2ap1,1.6322
Tctn3,1.6321
Grk3,1.632
Pip5k1b,-1.6318
Snhg11,1.6314
C630043F03Rik,-1.6309
P3h4,1.6302
Hmgcs1,1.6298
BB540658,-1.6297
Egfl6,-1.6291
Sqle,1.6287
Pik3cb,1.6287
E130311K13Rik,-1.6281
Plekhd1,-1.628
Elk1,-1.6279
Mfsd2a,-1.6273
4921524J17Rik,-1.6269
Dapk1,-1.6268
Qtrt2,-1.6267
Prkd1,-1.6262
Zfp423,-1.626
Ptpn2,-1.6252
Lmna,1.625
Bzw2,-1.625
Cdh10,1.6249
Rgs3,1.6249
Tmem29,-1.6249
Rnf182,-1.6247
Mm.453505,1.6246
Pcdh17,-1.6243
Rcan3,-1.6243
Syce2,-1.6239
Glcci1,1.6237
Ier5l,1.6232
Fbln2,1.6221
Inhba,-1.6217
1439174_at,1.6217
