Gene,Fold Change
5330434G04Rik,1.4466
Il17rd,-1.4462
Fezf2,1.4457
Gpr146,-1.4452
Podxl2,1.4451
Bves,1.445
Lrrk2,1.4445
Fmn1,1.4445
Fam183b,-1.444
Islr,-1.4432
1600029O15Rik,1.4423
Zc3h8,1.4415
Nefl,1.4409
Creb3l2,1.4409
Pfas,-1.4397
Ccdc12,-1.4393
Arhgap27,-1.4392
Tmem107,-1.4387
Cflar,1.4383
Pecr,-1.438
Fam184a,-1.4378
Alkbh3,-1.4374
Hist1h2be,1.4365
Nkd1,1.4364
Tiam1,-1.4364
Nmbr,1.4353
Thsd7a,-1.4352
Zfp711,1.4351
Zmiz1,1.4339
Snrpn,1.4335
Mmd,1.4332
Spata13,-1.4331
Banp,1.4327
Msmo1,1.4326
Fa2h,1.4326
Gm5069,-1.4325
Grhpr,-1.4324
Stxbp6,-1.4315
Gdpd5,1.4314
Pdk1,1.4312
Hace1,-1.4312
Plekhh3,-1.4311
Fbxw17,-1.4308
Caln1,1.4307
Zfp78,1.4307
Plp1,1.4307
Fancc,-1.4304
Klf4,-1.4292
Tmpo,1.4286
Gpc1,1.4284
Strip2,1.4284
Tmem47,1.4273
Eya4,1.4272
C1ql3,-1.4269
Vstm2l,1.4259
Taf13,1.4258
Ptpdc1,1.4258
6430548M08Rik,1.4254
Zfp414,-1.4252
Sbk1,1.425
3000002C10Rik,-1.4247
4430402I18Rik,-1.4247
Mme,-1.4246
Mocos,1.4246
Zfp783,-1.4245
Map3k5,-1.4233
Ugt8a,1.4232
1500004A13Rik,1.423
Syn3,1.4228
Epha8,1.4228
Grasp,1.4227
Shisa9,-1.4227
Rogdi,-1.4221
Acvrl1,-1.4215
Gmip,1.4213
Glt8d2,-1.421
Orai2,-1.4205
Sfxn3,1.4198
Rps19,-1.4197
Spns2,-1.4196
Arhgdig,1.4194
Lpar1,1.4192
Smyd4,1.4189
Hspb11,-1.4178
Itpkc,1.4178
Tbc1d8,1.4176
Ndufa7,-1.4176
Fam205a2,-1.4173
Rcn1,-1.4171
Ormdl2,1.4168
Cdkl2,1.4161
Smim3,-1.4156
Zfp36l1,1.4153
Tubb3,1.4153
Pde1b,-1.4151
Skap2,1.4151
Ndfip2,1.4142
Manf,1.4135
Rgs17,1.4131
Kcnk10,-1.4131
Rpl35a,-1.4131
Dkk3,1.4129
Zdhhc15,-1.4127
Cyp4f15,-1.4126
4732491K20Rik,-1.412
Hspa5,1.412
Dbndd1,1.4118
Ippk,-1.4117
Lfng,-1.4114
4930447M23Rik,-1.4109
Arhgap29,1.4108
Tpx2,1.4104
Iqgap2,-1.4104
Rasal2,-1.4102
Pqlc1,-1.4098
Klhl32,-1.4097
Eln,-1.4097
Tmem229a,1.4094
Idh1,1.409
Slc39a8,1.4085
Rpl37a,-1.4083
Ppp2r2b,1.408
Card10,-1.4078
Rps29,-1.4078
